conceptUri,preferredLabel,altLabels,skillType,reuseLevel,description
http://data.europa.eu/esco/skill/f69d330a-c343-433f-9532-fed6b8654b0e,"analyse potential threats against national security","",skill/competence,transversal,"Analyse the possibilities of potential threats and actions taken against national security in order to develop preventive measures and aid with the development of military tactics and operations."
http://data.europa.eu/esco/skill/11eebd42-44ab-401d-8a2c-bdb9fc9beb50,"information security strategy","",skill/competence,transversal,"The plan defined by a company which sets the information security objectives and measures to mitigate risks, define control objectives, establish metrics and benchmarks while complying with legal, int"
http://data.europa.eu/esco/skill/3398504d-9137-4a38-a91c-b37416eba276,"security requirements of goods transported via pipelines","",skill/competence,transversal,"Know the security requirements and safety measures necessary to avoid accidents during the transportation of goods via pipelines. Ensure measures for the transport of oil and petroleum products, olefi"
http://data.europa.eu/esco/skill/beaf0ed4-a51d-4856-97ec-c5701a6b44a2,"respond to burglar alarm systems","",skill/competence,transversal,"Monitor the received signals from a burglar alarm system and react promptly to investigate the issues."
http://data.europa.eu/esco/skill/d65babdd-b9a9-4ca6-ad55-f02a9027bbbb,"crime scene preservation","",skill/competence,transversal,"The methods involved in the preservation of a crime scene so that the evidence and information that can be gathered from it for an investigation is uninfluenced by outside factors."
http://data.europa.eu/esco/skill/fc2eea22-5bd1-4b78-aafe-4eb117c6bdd3,"repair alarm system","",skill/competence,transversal,"Following the investigation activity, reset and repair the alarm system in place in order to restore its functional properties for future use."
http://data.europa.eu/esco/skill/37bc4dc0-1233-4008-98db-1116d0c1cfcc,"define security policies","",skill/competence,transversal,"Design and execute a written set of rules and policies that have the aim of securing an organisation concerning constraints on behaviour between stakeholders, protective mechanical constraints and dat"
http://data.europa.eu/esco/skill/114c9698-c999-4369-8498-81bf641fe871,"establish an ICT security prevention plan","",skill/competence,transversal,"Define a set of measures and responsibilities to ensure the confidentiality, integrity and availability of information. Implement policies to prevent data breaches, detect and respond to unathorised a"
http://data.europa.eu/esco/skill/69cfc5ed-6569-4aca-a4cc-fd782ba51d9c,"implement ICT risk management","",skill/competence,transversal,"Develop and implement procedures for identifying, assessing, treating and mitigating ICT risks, such as hacks or data leaks, according to the company's risk strategy, procedures and policies. Analyse "
http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44,"cyber security","",skill/competence,transversal,"The methods that protect ICT systems, networks, computers, devices, services, digital information and people against illegal or unauthorised use."
http://data.europa.eu/esco/skill/8a30eb28-eca0-4ab6-8c05-32c47d3e0dd6,"BlackArch","",skill/competence,transversal,"The BlackArch Linux distribution is a penetration testing tool which tests security weaknesses of the system for potentially unauthorised access to system information."
http://data.europa.eu/esco/skill/419d9b5b-0456-477f-b06c-0bd03628f41d,"protect important clients","",skill/competence,transversal,"Keep clients safe who have extraordinary level of risk by organising and providing the relevant security."
